majorName,course1,course2,
Astronomy and Astrophysics,PHYS1101,PHYS1201,PHYS2013,PHYS2020,ASTR2013,ASTR3013,ASTR3002,PHYS3057,
Biochemistry,BIOL1004,BIOL2171,CHEM1201,CHEM2211,BIOL2202,BIOL2161,BIOL3107,BIOL3204,
Biological Anthropology,BIAN1001,ANTH1002,BIAN2015,BIAN2119,BIAN3113,BIAN3124,ANTH2026,ANTH2138,
Cell and Molecular Biology,BIOL1003,BIOL1004,BIOL2161,BIOL2162,PSYC2009,BIOL2142,NEUR3101,BIOL3191,
Chemistry,CHEM1101,CHEM1201,CHEM2202,CHEM2203,CHEM2210,CHEM3208,CHEM3013,CHEM3203,
Computer Science,COMP1600,COMP1100,COMP1110,COMP2100,COMP2400,COMP3310,COMP3425,COMP3320,
Earth Science,EMSC1008,CHEM1101,MATH1003,EMSC2021,EMSC2022,EMSC2023,BIAN3010,EMSC3014,
Environmental Science,ENVS1003,ENVS1004,EMSC1006,ENVS2002,EMSC2021,BIOL3178,ENVS3008,ENVS3013,
Evolution Ecology and Organismal Biology,BIOL1003,BIOL1004,BIOL1009,BIAN3014,BIOL2114,BIOL2115,BIOL3109,BIOL3191,
Geography,ENVS1001,ENVS1003,ENVS2002,ENVS2001,ENVS2004,ENVS3004,ENVS3005,ENVS3007,
Human Biology,BIOL1003,BIOL1004,BIOL2161,MEDN2001,BIAN3014,BIOL2117,BIAN3113,BIOL3191,
Human Evolutionary Biology,BIAN1001,BIAN3113,BIOL1003,BIOL3131,BIAN2015,BIAN2119,BIAN2126,BIAN2133,
Marine Science,EMSC1006,CHEM1101,EMSC2021,EMSC2024,BIOL3116,EMSC3019,EMSC3023,BIOL3208,
Mathematical Economics,STAT2001,ECON2101,MATH2320,MATH3029,ECON3127,ECON3152,ECON3100,MATH3320,
Mathematical Finance,STAT1003,STAT2001,FINM2002,MATH2305,MATH2320,STAT2005,MATH3015,MATH3029,
Mathematical Modelling,COMP1100,STAT1003,MATH2305,MATH2306,MATH3501,MATH3511,MATH2307,MATH3029,
Mathematics,MATH1013,MATH1014,MATH2305,MATH2306,MATH3511,MATH3342,MATH3343,MATH3062,
Physics,PHYS1101,PHYS1201,PHYS2013,PHYS2016,PHYS2020,PHYS2201,PHYS3101,PHYS3102,
Psychology,PSYC1003,PSYC1004,PSYC2009,PSYC2001,PSYC2002,PSYC3002,PSYC3011,PSYC3015,
Quantitative Environmental Modelling,MATH1013,MATH1014,MATH2305,MATH3133,ENVS2002,ENVS2004,EMSC3032,ENVS3008,
Quantitiative Biology,MATH1013,STAT2001,BIOL1003,BIOL2151,BIOL3157,MATH2307,MATH3353,MATH3511,
Resource and Environmental Management,ENVS1003,ENVS1004,ENVS3040,ENVS2002,ENVS2007,ENVS2001,ENVS3007,ENVS3004,
Science Communication,SCOM1001,SCOM1002,SCOM2003,SCOM3004,SCOM3005,SCOM3007,SCOM3003,
Statistics,STAT1003,MATH1013,STAT2001,STAT2008,STAT2005,STAT3004,STAT3006,STAT3011,
Sustainability Studies,ENVS1001,ENVS1003,ENVS1008,ENVS2002,ENVS2014,ENVS3021,ENVS3004,ENVS3005,
Water Science,EMSC1006,ENVS2020,ENVS3005,EMSC3025,CHEM1101,EMSC2024,EMSC3014,EMSC3050,
